,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
33,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,246,Finland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,1266.0
34,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,246,Finland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,1986.0
35,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,304,Greenland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,0.0
36,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,304,Greenland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,0.0
37,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,304,Greenland,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,0.0
38,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,1173.0
39,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,1345.0
40,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,1743.0
41,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,3293.0
42,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,3415.0
43,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,2705.0
44,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,300,Greece,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,3037.0
45,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2016,,,,481.0
46,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2017,,,,598.0
47,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2018,,,,759.0
48,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2020,,,,736.0
49,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2021,,,,715.0
50,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2022,,,,663.0
51,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2023,,,,822.0
52,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,986.0
53,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,1292.0
54,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,1094.0
55,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,1202.0
56,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,1192.0
57,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,1094.0
58,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,191,Croatia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,1217.0
59,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2018,,,,14.0
60,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2020,,,,30.0
61,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2021,,,,28.0
