IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2016,,,,389991.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2016,,,,280321.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2007,,,,1220456.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2007,,,,420693.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2006,,,,968978.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2006,,,,388178.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2020,,,,347193.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2022,,,,601632.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2022,,,,477778.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2022,,,,3544434.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2023,,,,3379044.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2023,,,,570079.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,158,Chinese Taipei,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2024,,,,474369.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2024,,,,567744.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2024,,,,3575795.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,156,China,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2020,,,,2589952.0
ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,124,Canada,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,USM,Million US dollar,2020,,,,390821.0
