Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2010,,,,6.12
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2011,,,,6.11
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2012,,,,6.06
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2013,,,,6.01
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2014,,,,6.54
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2015,,,,6.42
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,6.39
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,6.42
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,6.54
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,6.59
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,158,CHT,Chinese Taipei,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,6.46
